,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Note_joueurs,Nb_avis,Note_GK,Editeur,Licence,Date_Test_GK,Distributeur,Développeur,Éditeur,French_name
69,59,Pokemon FireRed/Pokemon LeafGreen,GBA,2004.0,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49,,,,,,,,,,
70,60,Super Mario 64,DS,2004.0,Platform,Nintendo,5.08,3.11,1.25,0.98,10.42,8.7,445.0,8.0,Nintendo,Mario,2005-03-10,Nintendo,Nintendo,Nintendo,Super Mario 64
71,61,Just Dance 3,Wii,2011.0,Misc,Ubisoft,6.05,3.15,0.0,1.07,10.26,6.8,12.0,6.0,Ubisoft,Just Dance,2011-10-10,,Ubisoft Montpellier,Ubisoft,Just Dance 3
72,62,Call of Duty: Ghosts,X360,2013.0,Shooter,Activision,6.72,2.63,0.04,0.82,10.21,5.7,103.0,6.0,Activision,Call of Duty,2013-11-05,,Infinity Ward,Activision,Call of Duty : Ghosts
73,62,Call of Duty: Ghosts,X360,2013.0,Shooter,Activision,6.72,2.63,0.04,0.82,10.21,5.7,103.0,6.0,Activision,Call of Duty,2013-11-05,,Infinity Ward,Activision,Call of Duty: Ghosts
74,63,Halo: Reach,X360,2010.0,Shooter,Microsoft Game Studios,7.03,1.98,0.08,0.78,9.88,7.5,188.0,7.0,Xbox Game Studios,Halo,2010-09-16,,Bungie,Xbox Game Studios,Halo : Reach
75,63,Halo: Reach,X360,2010.0,Shooter,Microsoft Game Studios,7.03,1.98,0.08,0.78,9.88,7.5,188.0,7.0,Xbox Game Studios,Halo,2010-09-16,,Bungie,Xbox Game Studios,Halo: Reach
76,64,Mario Kart 64,N64,1996.0,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87,8.3,221.0,,Nintendo,,,,Nintendo,,
77,65,New Super Mario Bros. 2,3DS,2012.0,Platform,Nintendo,3.66,3.07,2.47,0.63,9.82,6.8,140.0,7.0,Nintendo,Mario,2012-08-17,,Nintendo,Nintendo,New Super Mario Bros. 2
78,66,Halo 4,X360,2012.0,Shooter,Microsoft Game Studios,6.63,2.36,0.04,0.73,9.76,7.2,128.0,7.0,Xbox Game Studios,Halo,2012-11-01,,343 Industries,Xbox Game Studios,Halo 4
79,67,Final Fantasy VII,PS,1997.0,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,9.0,512.0,9.0,Eidos Interactive,Final Fantasy,2000-09-18,,Square Enix,Square Enix,Final Fantasy VII Remake Intergrade
80,67,Final Fantasy VII,PS,1997.0,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,9.0,512.0,9.0,Eidos Interactive,Final Fantasy,2000-09-18,,Square Enix,Square Enix,Final Fantasy VII
81,68,Call of Duty: Ghosts,PS3,2013.0,Shooter,Activision,4.09,3.73,0.38,1.38,9.59,5.7,103.0,6.0,Activision,Call of Duty,2013-11-05,,Infinity Ward,Activision,Call of Duty : Ghosts
82,68,Call of Duty: Ghosts,PS3,2013.0,Shooter,Activision,4.09,3.73,0.38,1.38,9.59,5.7,103.0,6.0,Activision,Call of Duty,2013-11-05,,Infinity Ward,Activision,Call of Duty: Ghosts
83,69,Just Dance 2,Wii,2010.0,Misc,Ubisoft,5.84,2.89,0.01,0.78,9.52,6.6,15.0,6.0,Ubisoft,Just Dance,2010-10-14,,Ubisoft Montpellier,Ubisoft,Just Dance 2
84,70,Gran Turismo 2,PS,1999.0,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,8.0,89.0,7.0,Bleem! LLC,Gran Turismo,2000-09-18,,Polyphony Digital,Sony Interactive Entertainment Europe,Gran Turismo 2
85,71,Call of Duty 4: Modern Warfare,X360,2007.0,Shooter,Activision,5.91,2.38,0.13,0.9,9.32,7.7,290.0,6.8,Activision,Call of Duty,2007-11-09,Activision,Infinity Ward,Activision,Call of Duty 4 : Modern Warfare
86,71,Call of Duty 4: Modern Warfare,X360,2007.0,Shooter,Activision,5.91,2.38,0.13,0.9,9.32,7.7,290.0,6.8,Activision,Call of Duty,2007-11-09,Activision,Infinity Ward,Activision,Call of Duty 4: Modern Warfare
87,72,Donkey Kong Country,SNES,1994.0,Platform,Nintendo,4.36,1.71,3.0,0.23,9.3,8.6,216.0,6.5,Nintendo,Donkey Kong,2003-06-16,,Retro Studios,Nintendo,Donkey Kong Country : Tropical Freeze
88,72,Donkey Kong Country,SNES,1994.0,Platform,Nintendo,4.36,1.71,3.0,0.23,9.3,8.6,216.0,6.5,Nintendo,Donkey Kong,2003-06-16,,Retro Studios,Nintendo,Donkey Kong Country
89,73,Minecraft,X360,2013.0,Misc,Microsoft Game Studios,5.58,2.83,0.02,0.77,9.2,8.0,186.0,7.5,Xbox Game Studios,Minecraft,2012-02-14,,Mojang Studios,Xbox Game Studios,Minecraft
90,74,Animal Crossing: New Leaf,3DS,2012.0,Simulation,Nintendo,2.01,2.32,4.36,0.41,9.09,7.7,88.0,7.0,Nintendo,Animal Crossing,2013-06-14,,Nintendo,Nintendo,Animal Crossing : New Leaf
91,74,Animal Crossing: New Leaf,3DS,2012.0,Simulation,Nintendo,2.01,2.32,4.36,0.41,9.09,7.7,88.0,7.0,Nintendo,Animal Crossing,2013-06-14,,Nintendo,Nintendo,Animal Crossing: New Leaf
92,75,Mario Party DS,DS,2007.0,Misc,Nintendo,4.46,1.88,1.98,0.7,9.02,6.8,28.0,7.0,Nintendo,Mario,2007-11-27,Nintendo,Nintendo,Nintendo,Mario Party DS
93,76,The Elder Scrolls V: Skyrim,X360,2011.0,Role-Playing,Bethesda Softworks,5.03,2.86,0.1,0.85,8.84,8.3,510.0,7.333333333333333,Bethesda Softworks,The Elder Scrolls,2011-11-11,,Bethesda Softworks,Bethesda Softworks,The Elder Scrolls V : Skyrim
94,76,The Elder Scrolls V: Skyrim,X360,2011.0,Role-Playing,Bethesda Softworks,5.03,2.86,0.1,0.85,8.84,8.3,510.0,7.333333333333333,Bethesda Softworks,The Elder Scrolls,2011-11-11,,Bethesda Softworks,Bethesda Softworks,The Elder Scrolls V: Skyrim
95,77,Super Mario Kart,SNES,1992.0,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76,,,5,,,,,,,
96,78,FIFA 16,PS4,2015.0,Sports,Electronic Arts,1.11,6.06,0.06,1.26,8.49,7.0,57.0,8.0,Electronic Arts,FIFA EA Sports,2015-09-22,,,Electronic Arts,FIFA 16
97,79,Wii Party,Wii,2010.0,Misc,Nintendo,1.79,3.53,2.49,0.68,8.49,6.4,24.0,6.0,Nintendo,Wii Party,2010-10-07,,Nintendo,Nintendo,Wii Party
98,80,Halo 2,XB,2004.0,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,7.7,158.0,6.0,Xbox Game Studios,Halo,2004-11-10,,Bungie,Xbox Game Studios,Halo 2
99,81,Mario Party 8,Wii,2007.0,Misc,Nintendo,3.81,2.3,1.58,0.73,8.42,5.9,70.0,6.0,Nintendo,Mario,2007-06-21,,Hudson Soft,Nintendo,Mario Party 8
100,82,Pokemon Black 2/Pokemon White 2,DS,2012.0,Role-Playing,Nintendo,2.91,1.86,3.14,0.43,8.33,,,,,,,,,,
101,83,FIFA Soccer 13,PS3,2012.0,Action,Electronic Arts,1.06,5.05,0.13,2.01,8.24,7.7,136.0,9,Electronic Arts,FIFA EA Sports ,,,EA Canada,,
102,84,The Sims 3,PC,2009.0,Simulation,Electronic Arts,0.98,6.42,0.0,0.71,8.11,6.7,58.0,3,Electronic Arts,,,,Maxis,,
103,85,GoldenEye 007,N64,1997.0,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09,6.6,75.0,7,Activision,,,Eurocom,Eurocom,,
104,86,Mario & Sonic at the Olympic Games,Wii,2007.0,Sports,Sega,2.58,3.9,0.66,0.91,8.06,6.1,48.0,6,Sega,,,Sega,,Sega,Mario & Sonic aux Jeux Olympiques
105,87,Final Fantasy X,PS2,2001.0,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,8.0,356.0,8.0,Sony Interactive Entertainment Europe,Final Fantasy,2001-07-25,,Squaresoft,Sony Interactive Entertainment Europe,Final Fantasy X
106,88,Final Fantasy VIII,PS,1999.0,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,8.1,350.0,8.0,Eidos Interactive,Final Fantasy,2000-10-28,Eidos Interactive,Squaresoft,Eidos Interactive,Final Fantasy VIII
107,89,Pokémon Platinum Version,DS,2008.0,Role-Playing,Nintendo,2.82,1.78,2.69,0.55,7.84,7.7,46.0,7,Nintendo,Pokémon ,,,Game Freak,,
108,90,Pac-Man,2600,1982.0,Puzzle,Atari,7.28,0.45,0.0,0.08,7.81,7.0,38.0,4.0,Namco,Pac-Man,2004-07-09,,,,
109,90,Pac-Man,2600,1982.0,Puzzle,Atari,7.28,0.45,0.0,0.08,7.81,7.0,38.0,4.0,Namco,Pac-Man,2004-07-09,,,,Pac-Man
110,91,Grand Theft Auto: Liberty City Stories,PSP,2005.0,Action,Take-Two Interactive,2.9,2.83,0.24,1.75,7.72,7.2,72.0,6.5,Rockstar Games,Grand Theft Auto (GTA),2006-06-22,,Rockstar Leeds,Rockstar Games,Grand Theft Auto : Liberty City Stories
111,91,Grand Theft Auto: Liberty City Stories,PSP,2005.0,Action,Take-Two Interactive,2.9,2.83,0.24,1.75,7.72,7.2,72.0,6.5,Rockstar Games,Grand Theft Auto (GTA),2006-06-22,,Rockstar Leeds,Rockstar Games,Grand Theft Auto: Liberty City Stories
112,92,Super Mario Galaxy 2,Wii,2010.0,Platform,Nintendo,3.66,2.42,0.98,0.64,7.69,8.7,262.0,9.0,Nintendo,Mario,2010-06-11,,Nintendo,Nintendo,Super Mario Galaxy 2
113,93,Star Wars Battlefront (2015),PS4,2015.0,Shooter,Electronic Arts,2.93,3.29,0.22,1.23,7.67,6.7,123.0,7,Electronic Arts,,,,DICE,,
114,94,Call of Duty: Advanced Warfare,PS4,2014.0,Shooter,Activision,2.8,3.3,0.14,1.37,7.6,6.7,111.0,6.0,Activision,Call of Duty,2014-11-03,,Sledgehammer Games,Activision,Call of Duty : Advanced Warfare
115,94,Call of Duty: Advanced Warfare,PS4,2014.0,Shooter,Activision,2.8,3.3,0.14,1.37,7.6,6.7,111.0,6.0,Activision,Call of Duty,2014-11-03,,Sledgehammer Games,Activision,Call of Duty: Advanced Warfare
116,95,The Legend of Zelda: Ocarina of Time,N64,1998.0,Action,Nintendo,4.1,1.89,1.45,0.16,7.6,9.1,729.0,9.0,Nintendo,The Legend of Zelda,2011-06-16,Nintendo,Nintendo,Nintendo,The Legend of Zelda : Ocarina of Time
117,95,The Legend of Zelda: Ocarina of Time,N64,1998.0,Action,Nintendo,4.1,1.89,1.45,0.16,7.6,9.1,729.0,9.0,Nintendo,The Legend of Zelda,2011-06-16,Nintendo,Nintendo,Nintendo,The Legend of Zelda: Ocarina of Time
118,96,Crash Bandicoot 2: Cortex Strikes Back,PS,1997.0,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58,7.9,83.0,,Sony Interactive Entertainment,Crash Bandicoot ,,,Naughty Dog,,
119,97,Super Mario Bros. 2,NES,1988.0,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46,7.5,160.0,8.0,Nintendo,Mario,2001-04-09,,Nintendo,Nintendo,New Super Mario Bros. 2
120,97,Super Mario Bros. 2,NES,1988.0,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46,7.5,160.0,8.0,Nintendo,Mario,2001-04-09,,Nintendo,Nintendo,Super Mario Bros. 2
121,98,Super Smash Bros. for Wii U and 3DS,3DS,2014.0,Fighting,Nintendo,3.24,1.35,2.42,0.43,7.45,8.3,279.0,9,Nintendo,,,,Namco,,
122,99,Call of Duty: World at War,X360,2008.0,Shooter,Activision,4.79,1.9,0.0,0.69,7.37,6.6,89.0,6.0,Activision,Call of Duty,2008-12-03,,Treyarch,Activision,Call of Duty : World at War
123,99,Call of Duty: World at War,X360,2008.0,Shooter,Activision,4.79,1.9,0.0,0.69,7.37,6.6,89.0,6.0,Activision,Call of Duty,2008-12-03,,Treyarch,Activision,Call of Duty: World at War
124,100,Battlefield 3,X360,2011.0,Shooter,Electronic Arts,4.46,2.13,0.06,0.69,7.34,7.5,297.0,8.0,Electronic Arts,Battlefield,2011-10-28,,DICE,Electronic Arts,Battlefield 3
125,101,The Legend of Zelda: Twilight Princess,Wii,2006.0,Action,Nintendo,3.83,2.19,0.6,0.7,7.31,8.3,564.0,8.666666666666666,Nintendo,The Legend of Zelda,2006-12-04,Nintendo,Nintendo,Nintendo,The Legend of Zelda : Twilight Princess
126,101,The Legend of Zelda: Twilight Princess,Wii,2006.0,Action,Nintendo,3.83,2.19,0.6,0.7,7.31,8.3,564.0,8.666666666666666,Nintendo,The Legend of Zelda,2006-12-04,Nintendo,Nintendo,Nintendo,The Legend of Zelda: Twilight Princess
127,102,Call of Duty: Black Ops 3,XOne,2015.0,Shooter,Activision,4.52,2.09,0.01,0.67,7.3,5.6,48.0,6.0,Activision Blizzard,Call of Duty,2015-11-13,,Treyarch,Activision Blizzard,Call of Duty : Black Ops 3
128,102,Call of Duty: Black Ops 3,XOne,2015.0,Shooter,Activision,4.52,2.09,0.01,0.67,7.3,5.6,48.0,6.0,Activision Blizzard,Call of Duty,2015-11-13,,Treyarch,Activision Blizzard,Call of Duty: Black Ops 3
129,103,Just Dance,Wii,2009.0,Misc,Ubisoft,3.51,3.03,0.0,0.73,7.27,5.8,6.0,4.0,Ubisoft,Just Dance,2009-12-03,,Ubisoft Montpellier,Ubisoft,Just Dance
130,104,Battlefield 3,PS3,2011.0,Shooter,Electronic Arts,2.85,2.93,0.35,1.1,7.23,7.5,297.0,8.0,Electronic Arts,Battlefield,2011-10-28,,DICE,Electronic Arts,Battlefield 3
131,105,Need for Speed Underground,PS2,2003.0,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2,7.1,53.0,7,Electronic Arts,Need For Speed ,,,EA Black Box,,
132,106,Tekken 3,PS,1998.0,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,7.9,99.0,,Namco,Tekken ,,Sony Interactive Entertainment Europe,Namco,,
133,107,Crash Bandicoot 3: Warped,PS,1998.0,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,8.2,89.0,7.0,Sony Interactive Entertainment Europe,Crash Bandicoot,2000-09-29,,Naughty Dog,Sony Interactive Entertainment Europe,Crash Bandicoot 3 : Warped
