,Unnamed: 0,Name,Platform,Year,Genre,Publisher,DateSortie,Studio,Score,Rate,Review,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,GK_licence,GK_distributeur
71,87,Donkey Kong Country,SNES,1994.0,Platform,Nintendo,,Retro Studios,9.5,9.3,197.0,4.36,1.71,3.0,0.23,9.3,Donkey Kong,
72,89,Minecraft,X360,2013.0,Misc,Microsoft Game Studios,2011-11-01,Mojang Studios,9.5,,809.0,5.58,2.83,0.02,0.77,9.2,Minecraft,
73,90,Animal Crossing: New Leaf,3DS,2012.0,Simulation,Nintendo,2013-06-01,Nintendo,8.8,7.7,88.0,2.01,2.32,4.36,0.41,9.09,Animal Crossing,
74,92,Mario Party DS,DS,2007.0,Misc,Nintendo,2007-11-01,Hudson Soft,7.2,6.8,28.0,4.46,1.88,1.98,0.7,9.02,Mario,Nintendo
75,93,The Elder Scrolls V: Skyrim,X360,2011.0,Role-Playing,Bethesda Softworks,2011-11-01,Bethesda Game Studios,9.6,9.2,2144.0,5.03,2.86,0.1,0.85,8.84,The Elder Scrolls,
76,95,Super Mario Kart,SNES,1992.0,Racing,Nintendo,1993-01-01,,9.0,9.0,188.0,3.54,1.24,3.81,0.18,8.76,,
77,96,FIFA 16,PS4,2015.0,Sports,Electronic Arts,2015-09-01,EA Sports,8.2,,420.0,1.11,6.06,0.06,1.26,8.49,FIFA EA Sports,
78,97,Wii Party,Wii,2010.0,Misc,Nintendo,2010-10-01,Nd Cube,6.8,6.4,24.0,1.79,3.53,2.49,0.68,8.49,Wii Party,
79,98,Halo 2,XB,2004.0,Shooter,Microsoft Game Studios,2004-11-01,Bungie Software,9.5,7.7,158.0,6.82,1.53,0.05,0.08,8.49,Halo,
80,99,Mario Party 8,Wii,2007.0,Misc,Nintendo,2007-05-01,Hudson,6.2,5.9,70.0,3.81,2.3,1.58,0.73,8.42,Mario,
81,100,Pokemon Black 2/Pokemon White 2,DS,2012.0,Role-Playing,Nintendo,,,,,,2.91,1.86,3.14,0.43,8.33,,
82,101,FIFA Soccer 13,PS3,2012.0,Action,Electronic Arts,2012-09-01,Electronic Arts,8.8,7.7,136.0,1.06,5.05,0.13,2.01,8.24,FIFA EA Sports ,
83,102,The Sims 3,PC,2009.0,Simulation,Electronic Arts,2009-06-01,The Sims Studio,8.6,6.7,58.0,0.98,6.42,0.0,0.71,8.11,,
84,103,GoldenEye 007,N64,1997.0,Shooter,Nintendo,1997-08-01,Rare Ltd.,9.6,6.6,75.0,5.8,2.01,0.13,0.15,8.09,,Eurocom
85,104,Mario & Sonic at the Olympic Games,Wii,2007.0,Sports,Sega,2007-11-01,Sega,6.7,6.1,48.0,2.58,3.9,0.66,0.91,8.06,,Sega
86,105,Final Fantasy X,PS2,2001.0,Role-Playing,Sony Computer Entertainment,2001-12-01,SquareSoft,9.2,8.0,356.0,2.91,2.07,2.73,0.33,8.05,Final Fantasy,
87,106,Final Fantasy VIII,PS,1999.0,Role-Playing,SquareSoft,1999-09-01,SquareSoft,9.0,8.1,350.0,2.28,1.72,3.63,0.23,7.86,Final Fantasy,Eidos Interactive
88,107,PokǸmon Platinum Version,DS,2008.0,Role-Playing,Nintendo,,Game Freak,7.0,7.7,46.0,2.82,1.78,2.69,0.55,7.84,PokǸmon ,
89,108,Pac-Man,2600,1982.0,Puzzle,Atari,,,4.0,7.0,38.0,7.28,0.45,0.0,0.08,7.81,Pac-Man,
90,110,Grand Theft Auto: Liberty City Stories,PSP,2005.0,Action,Take-Two Interactive,2005-12-01,Rockstar North,8.8,,505.0,2.9,2.83,0.24,1.75,7.72,Grand Theft Auto (GTA),
91,112,Super Mario Galaxy 2,Wii,2010.0,Platform,Nintendo,2010-06-01,Nintendo EAD Tokyo ,9.7,9.2,1531.0,3.66,2.42,0.98,0.64,7.69,Mario,
92,113,Star Wars Battlefront (2015),PS4,2015.0,Shooter,Electronic Arts,,DICE,7.0,6.7,123.0,2.93,3.29,0.22,1.23,7.67,,
